ticket_id,text,category,priority
1,"Je ne peux plus me connecter au VPN",network,high
2,"Mon mot de passe est expiré",access,medium
3,"L'application se ferme au démarrage",software,high
4,"J'ai reçu un email contenant un lien suspect",security,high
5,"La connexion au réseau distant est très lente",network,medium
6,"Je souhaite réinitialiser mon mot de passe",access,low
7,"Le logiciel affiche une erreur au lancement",software,medium
8,"Une connexion inconnue apparaît sur mon compte",security,high
9,"Le Wi-Fi se déconnecte toutes les cinq minutes",network,high
10,"Je n'arrive pas à accéder au dossier partagé",access,medium
11,"Microsoft Teams ne démarre plus",software,medium
12,"J'ai reçu une demande inhabituelle de validation de connexion",security,high
13,"Impossible de joindre le serveur interne",network,high
14,"Mon compte utilisateur est verrouillé",access,high
15,"La mise à jour du logiciel reste bloquée",software,medium
16,"Un fichier joint suspect a été ouvert par erreur",security,high
17,"La connexion Ethernet ne fonctionne plus",network,high
18,"Je n'ai plus les droits sur une application",access,medium
19,"L'application affiche un écran blanc",software,medium
20,"Mon antivirus signale une menace",security,high
21,"Le réseau Wi-Fi de l'entreprise n'apparaît pas",network,medium
22,"Je souhaite obtenir un accès au CRM",access,low
23,"Le navigateur se ferme sans message d'erreur",software,medium
24,"Je pense que mon compte a été compromis",security,high
25,"Le partage de connexion ne fonctionne pas",network,medium
26,"L'authentification à deux facteurs ne fonctionne plus",access,high
27,"Le logiciel de comptabilité est très lent",software,medium
28,"J'ai détecté une activité inhabituelle sur ma messagerie",security,high
29,"La connexion au serveur de fichiers est interrompue",network,high
30,"Je ne peux pas modifier un document partagé",access,medium
31,"Une erreur apparaît lors de l'installation du programme",software,medium
32,"Un collègue a reçu un message envoyé depuis mon compte",security,high
33,"Le VPN se déconnecte après quelques minutes",network,high
34,"Je souhaite créer un nouveau compte utilisateur",access,low
35,"L'application ne répond plus après la connexion",software,high
36,"Une fenêtre demande mes identifiants de manière répétée",security,high
37,"L'imprimante réseau est inaccessible",network,medium
38,"Je n'arrive pas à ouvrir ma session Windows",access,high
39,"Le logiciel affiche des caractères illisibles",software,low
40,"J'ai cliqué sur un lien de phishing",security,high
41,"La connexion internet est instable dans la salle de réunion",network,medium
42,"Mon badge ne permet plus d'accéder au bâtiment",access,high
43,"Le programme plante pendant l'enregistrement",software,high
44,"Un appareil inconnu est connecté à mon compte",security,high
45,"Le serveur DNS ne répond pas",network,high
46,"Je souhaite changer les permissions d'un dossier",access,medium
47,"La licence du logiciel n'est plus reconnue",software,medium
48,"J'ai reçu plusieurs alertes de connexion échouée",security,high
49,"Je ne peux pas accéder à l'intranet",network,high
50,"Mon code de vérification n'arrive pas",access,medium
51,"Le logiciel ne reconnaît pas le fichier importé",software,medium
52,"Un programme inconnu s'est installé sur mon poste",security,high
53,"Le débit du réseau est très faible",network,medium
54,"Je ne peux plus accéder à ma boîte mail",access,high
55,"La fenêtre de l'application reste figée",software,medium
56,"Mon pare-feu bloque une application autorisée",network,medium
57,"Le point d'accès Wi-Fi redémarre sans arrêt",network,high
58,"Le câble réseau est branché mais aucune connexion n'est détectée",network,medium
